month,raise_date,issue_id,category,description,factory_response,status,resolution_date
2025-01,2025-01-10,ISS-2025-001,工資薪酬,要求調整加班費計算方式，按實際工時1.5倍計算,管理層同意自2月起按新標準計算加班費,已解決,2025-01-25
2025-01,2025-01-10,ISS-2025-002,安全衛生,車間粉塵濃度超標，需改善通風設施,已採購新型通風設備，預計2月完成安裝,未解決,
2025-01,2025-01-10,ISS-2025-003,工時休假,年假申請流程不透明，工人無法提前規劃,HR部門承諾制定線上年假申請系統,已解決,2025-01-20
2025-01,2025-01-10,ISS-2025-004,福利待遇,餐廳飯菜品質差且價格偏高,廠方同意引入新的外包餐飲供應商,已解決,2025-01-30
2025-01,2025-01-10,ISS-2025-005,工作環境,女工廁所數量不足，高峰期排隊超過20分鐘,工程部門評估後將增建2個廁位,未解決,
2025-01,2025-01-10,ISS-2025-006,勞動合同,部分工人簽署的合同未標明崗位具體職責,HR將在合同續簽時補充崗位說明書,已解決,2025-01-28
2025-01,2025-01-10,ISS-2025-007,管理溝通,班組長對工人態度粗暴，影響工作情緒,已對相關班組長進行溝通培訓,已解決,2025-01-18
2025-01,2025-01-10,ISS-2025-008,安全衛生,緊急疏散通道被雜物阻塞,已立即清理並列入每日安全巡查清單,已解決,2025-01-12
2025-01,2025-01-10,ISS-2025-009,工資薪酬,績效獎金計算標準不清晰，工人無法自行核對,廠方承諾每月公示績效計算明細,已解決,2025-01-22
2025-01,2025-01-10,ISS-2025-010,其他,工人技能培訓機會不足,已計劃每季度安排職業技能提升培訓,未解決,
2025-02,2025-02-12,ISS-2025-011,工資薪酬,春節假期後補發的工資少算了3天假期工資,財務核查後確認差異，已補發缺少工資,已解決,2025-02-20
2025-02,2025-02-12,ISS-2025-012,安全衛生,新引入的通風設備噪音過大影響工人健康,設備供應商已派員調整降噪，問題改善中,未解決,
2025-02,2025-02-12,ISS-2025-013,工時休假,連續加班超過6天，工人身心疲憊,廠方承諾嚴格執行每週最多加班6天規定,已解決,2025-02-25
2025-02,2025-02-12,ISS-2025-014,工作環境,生產線照明亮度不足，長期工作影響視力,已更換高效LED燈具，亮度達標,已解決,2025-02-22
2025-02,2025-02-12,ISS-2025-015,福利待遇,工傷保險理賠流程繁瑣，工人難以獨立完成,HR設立專人協助工傷理賠申請,已解決,2025-02-28
2025-02,2025-02-12,ISS-2025-016,勞動合同,試用期工資低於正式員工60%，違反規定,HR承諾調整至合法比例80%，下月執行,未解決,
2025-02,2025-02-12,ISS-2025-017,管理溝通,月度生產會議工人代表缺乏發言機會,已調整會議議程，每次保留15分鐘工人提問時間,已解決,2025-02-15
2025-02,2025-02-12,ISS-2025-018,安全衛生,部分化學品存放不當，缺乏安全標識,已完成全廠化學品重新分類存放及標識張貼,已解決,2025-02-19
2025-02,2025-02-12,ISS-2025-019,工資薪酬,計件工資計算存在誤差，部分工人少算工件數,已安裝自動計件系統，減少人工統計誤差,已解決,2025-02-26
2025-02,2025-02-12,ISS-2025-020,其他,哺乳期女工缺乏哺乳室設施,已在廠區設立2間哺乳室，配備基本設施,已解決,2025-02-28
2025-03,2025-03-14,ISS-2025-021,安全衛生,消防演練未通知工人，演練效果差,已制定季度消防演練計劃，提前1週通知,已解決,2025-03-25
2025-03,2025-03-14,ISS-2025-022,工資薪酬,夜班津貼金額3年未調整，未能反映物價上漲,廠方同意自4月起上調夜班津貼20%,已解決,2025-03-28
2025-03,2025-03-14,ISS-2025-023,工時休假,請病假需提供三甲醫院證明，基層工人就醫困難,調整為縣級醫院證明即可，已更新請假制度,已解決,2025-03-20
2025-03,2025-03-14,ISS-2025-024,工作環境,夏季車間溫度過高，缺乏降溫措施,已採購工業冷風機10台，預計4月前安裝完畢,未解決,
2025-03,2025-03-14,ISS-2025-025,福利待遇,退休員工探望制度缺失，員工歸屬感低,已建立退休員工關懷計劃，定期慰問,已解決,2025-03-30
2025-03,2025-03-14,ISS-2025-026,勞動合同,合同中關於保密義務條款過於寬泛，工人有顧慮,法律顧問已重新審定合同條款，縮窄保密範圍,已解決,2025-03-27
2025-03,2025-03-14,ISS-2025-027,管理溝通,工人投訴管道不暢，反映問題無人跟進,設立投訴熱線及網絡投訴平台，48小時內回覆,已解決,2025-03-22
2025-03,2025-03-14,ISS-2025-028,安全衛生,部分工人長期接觸噪音但未提供耳塞,全廠噪音崗位工人已統一配發降噪耳塞,已解決,2025-03-18
2025-03,2025-03-14,ISS-2025-029,工資薪酬,代扣款項未經工人確認，缺乏透明度,廠方承諾每月工資條詳列所有扣款項目,未解決,
2025-03,2025-03-14,ISS-2025-030,其他,廠內道路照明不足，夜班工人出行不安全,已更換路燈並增設感應燈，照明覆蓋率提升至95%,已解決,2025-03-24
2025-04,2025-04-09,ISS-2025-031,工資薪酬,法定假日加班費未按3倍計算,財務核查並補發差額，已調整薪資系統,已解決,2025-04-20
2025-04,2025-04-09,ISS-2025-032,安全衛生,電焊區域缺乏隔離防護，飛濺火星危及他人,已加裝防護圍簾及警示標識,已解決,2025-04-15
2025-04,2025-04-09,ISS-2025-033,工時休假,婚假申請被扣除年假天數，不符合規定,HR重新審查制度，已恢復獨立婚假額度,已解決,2025-04-18
2025-04,2025-04-09,ISS-2025-034,工作環境,車間夏季飲水設施不足，工人脫水風險高,已在各車間增設飲水站，定時補充冰水,已解決,2025-04-25
2025-04,2025-04-09,ISS-2025-035,福利待遇,子女就學困難，缺乏廠方教育補貼,廠方正研究設立員工子女教育補貼方案,未解決,
2025-04,2025-04-09,ISS-2025-036,管理溝通,新政策發布未提前告知工人，執行時出現混亂,管理層承諾重大政策提前14天公示並徵求意見,已解決,2025-04-22
2025-04,2025-04-09,ISS-2025-037,安全衛生,高溫環境下缺乏防中暑培訓及急救設備,已開展防中暑培訓並在各區域配備急救箱,已解決,2025-04-28
2025-04,2025-04-09,ISS-2025-038,工資薪酬,新員工試用期結束後工資調整不及時,HR系統增加自動提醒功能，確保按時轉正調薪,已解決,2025-04-26
2025-04,2025-04-09,ISS-2025-039,勞動合同,非正式工人長期使用但未簽訂正式合同,廠方承諾對符合條件的工人完成勞動合同簽訂,未解決,
2025-04,2025-04-09,ISS-2025-040,其他,廠內圖書室設施老舊，藏書匱乏,廠方撥款更新圖書室，並接受捐書,已解決,2025-04-30
2025-05,2025-05-08,ISS-2025-041,工資薪酬,五一假期工資計算錯誤，少發一天加班費,財務確認錯誤後已於5月15日補發,已解決,2025-05-15
2025-05,2025-05-08,ISS-2025-042,安全衛生,車間靜電問題嚴重，工人被電擊事件頻發,已鋪設防靜電地板並配發防靜電工作服,已解決,2025-05-20
2025-05,2025-05-08,ISS-2025-043,工時休假,部分班組強制要求工人放棄调休，補償不合理,廠方重申調休政策，禁止強制放棄，並補發補償,已解決,2025-05-22
2025-05,2025-05-08,ISS-2025-044,工作環境,部分工作台高度不符合人體工程學，導致職業損傷,工程部門逐一評估並調整工作台高度,未解決,
2025-05,2025-05-08,ISS-2025-045,福利待遇,醫療保險繳費基數計算方式不透明,HR發布醫療保險繳費計算說明文件，並舉辦解答會,已解決,2025-05-28
2025-05,2025-05-08,ISS-2025-046,管理溝通,季度工會與管理層對話會議多次取消,廠方承諾恢復定期對話，今後不得單方面取消,已解決,2025-05-18
2025-05,2025-05-08,ISS-2025-047,安全衛生,危險品操作未按規程執行，存在事故隱患,已開展緊急安全培訓並更新操作規程，全員簽署,已解決,2025-05-25
2025-05,2025-05-08,ISS-2025-048,工資薪酬,代班工資按基本工資計算，低於實際崗位工資,廠方同意代班按實際崗位工資計算，溯及過去3個月,已解決,2025-05-30
2025-05,2025-05-08,ISS-2025-049,勞動合同,外籍工人勞動合同無中文翻譯，難以理解條款,廠方安排翻譯公司提供官方雙語合同文本,未解決,
2025-05,2025-05-08,ISS-2025-050,其他,廠內停車位不足，部分工人車輛被罰款,廠方協調附近停車場，為員工提供優惠停車,已解決,2025-05-26
